,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
53,54," Castellanos, N",DET, ,592206,3B,154,549,42,140,33,6,15,73,39,152,0,3,.255,.303,.419,.721,1,1,0,6,230,54,21,139,145,0.96,2317,595
54,55," Gose, A",DET, ,543238,CF,140,485,73,123,24,8,5,26,45,145,23,11,.254,.321,.367,.688,0,3,2,0,178,37,11,153,78,1.96,2131,535
55,56," Butler, B",OAK, ,456714,DH,151,538,63,135,28,1,15,65,52,101,0,0,.251,.323,.390,.713,4,7,0,4,210,44,26,195,137,1.42,2248,601
56,57," Rodriguez, A",NYY, ,121347,DH,151,523,83,131,22,1,33,86,84,145,4,0,.250,.356,.486,.842,5,6,0,7,254,56,17,152,119,1.28,2503,620
57,58," Bautista, J",TOR, ,430832,RF,153,543,108,136,29,3,40,114,110,106,8,2,.250,.377,.536,.913,2,5,0,8,291,72,19,143,185,0.77,2741,666
58,59," Ramirez, A",CWS, ,493351,SS,154,583,54,145,33,0,10,62,31,68,17,7,.249,.285,.357,.642,2,1,1,6,208,43,18,230,165,1.39,2185,622
59,60," Gattis, E",HOU, ,594828,C,153,566,66,139,20,11,27,88,30,119,0,1,.246,.285,.463,.748,3,3,0,5,262,58,13,178,148,1.20,2102,604
60,61," Sandoval, P",BOS, ,467055,3B,126,470,43,115,25,1,10,47,25,73,0,0,.245,.292,.366,.658,1,7,1,2,172,36,14,174,125,1.39,1848,505
61,62," Plouffe, T",MIN, ,461858,3B,152,573,74,140,35,4,22,86,50,124,2,1,.244,.307,.435,.742,0,4,1,4,249,61,28,178,164,1.09,2403,632
62,63," Pujols, A",LAA, ,405395,DH,157,602,85,147,22,0,40,95,50,72,5,3,.244,.307,.480,.787,10,6,0,3,289,62,15,199,202,0.99,2514,661
63,64," Martin, R",TOR, ,431145,C,129,441,76,106,23,2,23,77,53,106,4,5,.240,.329,.458,.787,1,8,0,5,202,48,22,159,97,1.64,2112,507
64,65," Hunter, T",MIN, ,116338,RF,139,521,67,125,22,0,22,81,35,105,2,5,.240,.293,.409,.702,1,6,0,5,213,44,14,174,136,1.28,2087,567
65,66," Dozier, B",MIN, ,572821,2B,157,628,101,148,39,4,28,77,61,148,12,4,.236,.307,.444,.751,2,7,0,8,279,71,10,144,206,0.70,2833,704
66,67," McCann, B",NYY, ,435263,C,135,465,68,108,15,1,26,94,52,97,0,0,.232,.320,.437,.756,3,11,0,7,203,42,7,124,150,0.83,2094,535
67,68," Santana, C",CLE, ,467793,1B,154,550,72,127,29,2,19,85,108,122,11,3,.231,.357,.395,.752,8,3,0,5,217,50,20,177,149,1.19,2863,666
68,69," Morrison, L",SEA, ,489149,1B,146,457,47,103,15,3,17,54,47,81,8,4,.225,.302,.383,.685,5,4,1,2,175,35,7,145,138,1.05,1940,511
